"Mahalanobis" "pvalue"
"221" 3.6678 0.299642
"222" 3.1206 0.373402
"223" 6.735 0.080841
"224" 8.1552 0.042911
"225" 7.3521 0.061483
"226" 6.6586 0.083613
"227" 2.7834 0.42624
"228" 5.8223 0.120583
"229" 7.5057 0.057412
"230" 5.6456 0.130185
"231" 2.2658 0.519104
"232" 14.5484 0.002246
"233" 5.484 0.139599
"234" 7.9028 0.048064
"235" 5.3331 0.148969
"236" 6.1403 0.10498
"237" 5.4046 0.144457
"238" 1.6011 0.65914
"239" 1.5198 0.677708
"240" 3.9902 0.262524
"241" 3.5819 0.310294
"242" 4.8939 0.179733
"243" 1.3492 0.717485
"244" 2.4778 0.479316
"245" 10.4998 0.014762
"246" 13.9427 0.002984
"247" 4.7215 0.193364
"248" 5.936 0.114766
"249" 1.3467 0.718075
"250" 2.9293 0.402655
"251" 3.4384 0.32884
"252" 5.0189 0.170418
"253" 6.3127 0.097349
"254" 1.6662 0.644474
"255" 5.3759 0.146252
"256" 2.7358 0.434178
"257" 6.5064 0.08941
"258" 8.3727 0.038906
"259" 5.9832 0.11243
"260" 1.0893 0.779658
"261" 2.159 0.540069
"262" 2.9669 0.396757
"263" 2.8248 0.419434
"264" 1.9875 0.575005
"265" 7.8881 0.048382
"266" 8.7233 0.033205
"268" 1.8581 0.602374
"269" 6.4256 0.092643
"270" 4.2664 0.234097
"271" 1.8153 0.611611
"272" 4.2471 0.235988
"273" 7.4221 0.059594
"274" 11.1043 0.011175
"275" 1.9435 0.584216
"276" 6.3817 0.094447
"277" 3.5218 0.317946
"278" 5.2174 0.156553
"279" 3.3274 0.343847
"280" 2.1652 0.538835
"281" 8.7492 0.032818
"282" 2.0505 0.561992
"283" 1.8071 0.613391
"284" 5.3715 0.14653
"285" 3.9525 0.266639
"286" 13.2865 0.004056
"287" 6.5719 0.08687
"289" 1.487 0.685274
"290" 2.018 0.568679
"291" 4.2028 0.240382
"292" 3.9922 0.262308
"293" 6.3795 0.094538
"294" 9.5362 0.022949
"295" 3.9473 0.267211
"296" 5.5704 0.134488
"297" 14.6353 0.002156
"298" 3.3446 0.341483
"299" 4.0488 0.256243
"300" 8.0162 0.045678
"301" 7.4448 0.058994
"302" 2.2516 0.521856
